system,objective,threshold_source,threshold,n,n_pos,n_neg,prevalence,tp,fp,tn,fn,precision,recall,specificity,accuracy,f1,balanced_acc,mcc,auroc,auprc,auprc_lift,delta_f1_vs_trivial,delta_bal_acc_vs_random,delta_mcc_vs_trivial,f1_ci_low,f1_ci_high,balanced_acc_ci_low,balanced_acc_ci_high,mcc_ci_low,mcc_ci_high,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high
mil/mil_results/whisper_mil_layersum,balanced_acc,val,0.7320062518119812,441,335,106,0.7596371882086168,226,56,50,109,0.8014184397163121,0.6746268656716418,0.4716981132075472,0.6258503401360545,0.7325769854132901,0.5731624894395945,0.13021790079449416,0.595071810757533,0.7905295807565456,0.03089239254792875,-0.13082507644238006,0.07316248943959447,0.13021790079449416,0.693802481462688,0.7687462146447821,0.5194561391157421,0.6270768797521824,0.03418185229371319,0.22476570212379512,0.52642987890735,0.6576745987045901,0.7523913859614478,0.8322810014899167
mil/mil_results/whisper_mil_layersum,youden,val,0.7320062518119812,441,335,106,0.7596371882086168,226,56,50,109,0.8014184397163121,0.6746268656716418,0.4716981132075472,0.6258503401360545,0.7325769854132901,0.5731624894395945,0.13021790079449416,0.595071810757533,0.7905295807565456,0.03089239254792875,-0.13082507644238006,0.07316248943959447,0.13021790079449416,0.693802481462688,0.7687462146447821,0.5194561391157421,0.6270768797521824,0.03418185229371319,0.22476570212379512,0.52642987890735,0.6576745987045901,0.7523913859614478,0.8322810014899167
mil/mil_results/whisper_mil_tsmil_concat,f1,val,0.5354159474372864,436,334,102,0.7660550458715596,311,53,49,23,0.8543956043956044,0.9311377245508982,0.4803921568627451,0.8256880733944955,0.8911174785100286,0.7057649407068216,0.4691997308362312,0.8689972995186098,0.9444364558799068,0.17838141000834717,0.02358501097756116,0.2057649407068216,0.4691997308362312,0.8721536747874427,0.910405154779184,0.6571562756839263,0.7566991017964072,0.37057602212720314,0.5688079414452093,0.8311002994011977,0.9080684219795703,0.9180512253309442,0.9678513443858185
mil/mil_results/whisper_mil_tsmil_concat,balanced_acc,val,0.7981036305427551,436,334,102,0.7660550458715596,265,24,78,69,0.916955017301038,0.7934131736526946,0.7647058823529411,0.786697247706422,0.8507223113964686,0.7790595280028179,0.4997957761701586,0.8689972995186098,0.9444364558799068,0.17838141000834717,-0.0168101561359989,0.27905952800281786,0.4997957761701586,0.823141452957938,0.8807631160572337,0.7376717153927439,0.8257705177879535,0.4270769127685708,0.5869056939234655,0.8311002994011977,0.9080684219795703,0.9180512253309442,0.9678513443858185
mil/mil_results/whisper_mil_tsmil_concat,youden,val,0.7981036305427551,436,334,102,0.7660550458715596,265,24,78,69,0.916955017301038,0.7934131736526946,0.7647058823529411,0.786697247706422,0.8507223113964686,0.7790595280028179,0.4997957761701586,0.8689972995186098,0.9444364558799068,0.17838141000834717,-0.0168101561359989,0.27905952800281786,0.4997957761701586,0.823141452957938,0.8807631160572337,0.7376717153927439,0.8257705177879535,0.4270769127685708,0.5869056939234655,0.8311002994011977,0.9080684219795703,0.9180512253309442,0.9678513443858185
pseudo_frame/results/speaker_informed_asd,f1,val,0.0858116507530212,441,335,106,0.7596371882086168,319,53,53,16,0.8575268817204301,0.9522388059701492,0.5,0.8435374149659864,0.9024045261669025,0.7261194029850746,0.5319210125349705,0.870825119684596,0.9532791856992207,0.19364199749060385,0.03900246431123233,0.2261194029850746,0.5319210125349705,0.8847125889382765,0.9200056980056981,0.6841453111799494,0.7745423824274852,0.4401863789716305,0.6267981718169727,0.8342262742889327,0.9089284708532805,0.9386568192435338,0.9682562254212942
pseudo_frame/results/speaker_informed_asd,balanced_acc,val,0.2057882418334472,441,335,106,0.7596371882086168,274,24,82,61,0.9194630872483222,0.817910447761194,0.7735849056603774,0.8072562358276644,0.8657187993680886,0.7957476767107857,0.5399462418044372,0.870825119684596,0.9532791856992207,0.19364199749060385,0.002316737512418454,0.2957476767107857,0.5399462418044372,0.8394276629570747,0.8916418389218034,0.7517963249788792,0.8407128273725711,0.462038727180958,0.6235888987143215,0.8342262742889327,0.9089284708532805,0.9386568192435338,0.9682562254212942
pseudo_frame/results/speaker_informed_asd,youden,val,0.2057882418334472,441,335,106,0.7596371882086168,274,24,82,61,0.9194630872483222,0.817910447761194,0.7735849056603774,0.8072562358276644,0.8657187993680886,0.7957476767107857,0.5399462418044372,0.870825119684596,0.9532791856992207,0.19364199749060385,0.002316737512418454,0.2957476767107857,0.5399462418044372,0.8394276629570747,0.8916418389218034,0.7517963249788792,0.8407128273725711,0.462038727180958,0.6235888987143215,0.8342262742889327,0.9089284708532805,0.9386568192435338,0.9682562254212942
pseudo_frame/results/speaker_informed_asd_per_track,f1,val,0.4889596470042382,441,335,106,0.7596371882086168,327,77,29,8,0.8094059405940595,0.9761194029850746,0.27358490566037735,0.8072562358276644,0.884979702300406,0.624852154322726,0.38486624952229254,0.803323007603492,0.9254887051419244,0.16585151693330757,0.02157764044473587,0.124852154322726,0.38486624952229254,0.8717914438502674,0.8974051533733284,0.5838605322444382,0.6643199098845396,0.2837327069800392,0.47642242774034255,0.7565460433680654,0.8463566600957477,0.9046678694015737,0.9438678488465242
pseudo_frame/results/speaker_informed_asd_per_track,balanced_acc,val,0.6624094662493568,441,335,106,0.7596371882086168,266,37,69,69,0.8778877887788779,0.7940298507462686,0.6509433962264151,0.7596371882086168,0.8338557993730408,0.7224866234863419,0.4100609178698514,0.803323007603492,0.9254887051419244,0.16585151693330757,-0.02954626248262937,0.22248662348634185,0.4100609178698514,0.8044854100946373,0.8616434193772428,0.6730378766544635,0.7709096029287524,0.32057930220122566,0.5015253660561135,0.7565460433680654,0.8463566600957477,0.9046678694015737,0.9438678488465242
pseudo_frame/results/speaker_informed_asd_per_track,youden,val,0.6624094662493568,441,335,106,0.7596371882086168,266,37,69,69,0.8778877887788779,0.7940298507462686,0.6509433962264151,0.7596371882086168,0.8338557993730408,0.7224866234863419,0.4100609178698514,0.803323007603492,0.9254887051419244,0.16585151693330757,-0.02954626248262937,0.22248662348634185,0.4100609178698514,0.8044854100946373,0.8616434193772428,0.6730378766544635,0.7709096029287524,0.32057930220122566,0.5015253660561135,0.7565460433680654,0.8463566600957477,0.9046678694015737,0.9438678488465242
pseudo_frame/results/wavlm_pseudo_frame,f1,val,0.5648563504219055,441,335,106,0.7596371882086168,331,97,9,4,0.7733644859813084,0.9880597014925373,0.08490566037735849,0.7709750566893424,0.8676277850589776,0.5364826809349479,0.1843310581578687,0.8307519008729936,0.9371897746786694,0.17755258647005256,0.0042257232033074965,0.036482680934947886,0.1843310581578687,0.8589986056621055,0.8756652661064425,0.5114052379611377,0.5632920304139679,0.06900428048902396,0.28545955922796507,0.787912559842298,0.8721972683751057,0.9161946668510307,0.9557733357199804
pseudo_frame/results/wavlm_pseudo_frame,balanced_acc,val,0.8626738786697388,441,335,106,0.7596371882086168,295,40,66,40,0.8805970149253731,0.8805970149253731,0.6226415094339622,0.81859410430839,0.8805970149253731,0.7516192621796677,0.5032385243593354,0.8307519008729936,0.9371897746786694,0.17755258647005256,0.01719495306970298,0.2516192621796677,0.5032385243593354,0.8579881656804733,0.9026691407365115,0.7061560123908758,0.8002995635032385,0.4164363214902615,0.5928667490338877,0.787912559842298,0.8721972683751057,0.9161946668510307,0.9557733357199804
pseudo_frame/results/wavlm_pseudo_frame,youden,val,0.8626738786697388,441,335,106,0.7596371882086168,295,40,66,40,0.8805970149253731,0.8805970149253731,0.6226415094339622,0.81859410430839,0.8805970149253731,0.7516192621796677,0.5032385243593354,0.8307519008729936,0.9371897746786694,0.17755258647005256,0.01719495306970298,0.2516192621796677,0.5032385243593354,0.8579881656804733,0.9026691407365115,0.7061560123908758,0.8002995635032385,0.4164363214902615,0.5928667490338877,0.787912559842298,0.8721972683751057,0.9161946668510307,0.9557733357199804
pseudo_frame/results/wavlm_pseudo_frame_c1distill,f1,val,0.0996364876627922,441,335,106,0.7596371882086168,333,102,4,2,0.7655172413793103,0.9940298507462687,0.03773584905660377,0.764172335600907,0.8649350649350649,0.5158828499014363,0.11716921217888566,0.6901999436778372,0.8563002460159128,0.096663057807296,0.0015330030793947458,0.01588284990143629,0.11716921217888566,0.8586251621271076,0.8709256844850065,0.49850746268656715,0.536243311743171,-0.014534863849513389,0.21906352831477235,0.6278998873556744,0.7505801182765419,0.8241878445858992,0.8911154806326087
pseudo_frame/results/wavlm_pseudo_frame_c1distill,balanced_acc,val,0.1308835297822952,441,335,106,0.7596371882086168,326,86,20,9,0.7912621359223301,0.9731343283582089,0.18867924528301888,0.7845804988662132,0.8728246318607764,0.5809067868206139,0.278960478003226,0.6901999436778372,0.8563002460159128,0.096663057807296,0.009422570005106268,0.08090678682061392,0.278960478003226,0.8605577689243029,0.8862253927031454,0.54490284426922,0.6216336947338778,0.1691630608672558,0.3861077061719041,0.6278998873556744,0.7505801182765419,0.8241878445858992,0.8911154806326087
pseudo_frame/results/wavlm_pseudo_frame_c1distill,youden,val,0.1308835297822952,441,335,106,0.7596371882086168,326,86,20,9,0.7912621359223301,0.9731343283582089,0.18867924528301888,0.7845804988662132,0.8728246318607764,0.5809067868206139,0.278960478003226,0.6901999436778372,0.8563002460159128,0.096663057807296,0.009422570005106268,0.08090678682061392,0.278960478003226,0.8605577689243029,0.8862253927031454,0.54490284426922,0.6216336947338778,0.1691630608672558,0.3861077061719041,0.6278998873556744,0.7505801182765419,0.8241878445858992,0.8911154806326087
pseudo_frame/results/wavlm_pseudo_frame_synth,f1,val,0.5080899596214294,441,335,106,0.7596371882086168,329,95,11,6,0.7759433962264151,0.982089552238806,0.10377358490566038,0.7709750566893424,0.8669301712779973,0.5429315685722332,0.19057884879311307,0.806110954660659,0.9260528423749832,0.1664156541663664,0.0035281094223271747,0.042931568572233236,0.19057884879311307,0.8567674113009198,0.8770088796897406,0.5148690509715573,0.5757110673049846,0.07010325009033698,0.29904952028872045,0.7621085609687412,0.8523796113770769,0.9051477783141161,0.9463117097016276
pseudo_frame/results/wavlm_pseudo_frame_synth,balanced_acc,val,0.7544400095939636,441,335,106,0.7596371882086168,301,54,52,34,0.847887323943662,0.8985074626865671,0.49056603773584906,0.800453514739229,0.872463768115942,0.6945367502112081,0.4196078325169831,0.806110954660659,0.9260528423749832,0.1664156541663664,0.009061706260271807,0.1945367502112081,0.4196078325169831,0.8516131761153626,0.8934321686174578,0.6436443959448043,0.7449310053506055,0.3161813462556627,0.518094216374246,0.7621085609687412,0.8523796113770769,0.9051477783141161,0.9463117097016276
pseudo_frame/results/wavlm_pseudo_frame_synth,youden,val,0.7544400095939636,441,335,106,0.7596371882086168,301,54,52,34,0.847887323943662,0.8985074626865671,0.49056603773584906,0.800453514739229,0.872463768115942,0.6945367502112081,0.4196078325169831,0.806110954660659,0.9260528423749832,0.1664156541663664,0.009061706260271807,0.1945367502112081,0.4196078325169831,0.8516131761153626,0.8934321686174578,0.6436443959448043,0.7449310053506055,0.3161813462556627,0.518094216374246,0.7621085609687412,0.8523796113770769,0.9051477783141161,0.9463117097016276
pseudo_frame/results/wavlm_pseudo_frame_synth_v1,f1,val,0.4515907168388366,441,335,106,0.7596371882086168,332,91,15,3,0.7848699763593381,0.991044776119403,0.14150943396226415,0.7868480725623582,0.8759894459102903,0.5662771050408336,0.2862611594089989,0.7630526612221911,0.9099030862189873,0.1502658980103705,0.012587384054620121,0.06627710504083362,0.2862611594089989,0.8672734294181788,0.8859416445623342,0.5377358490566038,0.6007885102787948,0.18720754285487715,0.3830321547822557,0.711722050126725,0.8103703182202197,0.8862624165666514,0.9317125769248875
pseudo_frame/results/wavlm_pseudo_frame_synth_v1,balanced_acc,val,0.750045895576477,441,335,106,0.7596371882086168,285,58,48,50,0.8309037900874635,0.8507462686567164,0.4528301886792453,0.7551020408163265,0.8407079646017698,0.6517882286679808,0.3120206425244765,0.7630526612221911,0.9099030862189873,0.1502658980103705,-0.02269409725390037,0.1517882286679808,0.3120206425244765,0.8144716293597085,0.865585661059547,0.5993617994931005,0.7044554350887074,0.20632557364660842,0.41419070859268475,0.711722050126725,0.8103703182202197,0.8862624165666514,0.9317125769248875
pseudo_frame/results/wavlm_pseudo_frame_synth_v1,youden,val,0.750045895576477,441,335,106,0.7596371882086168,285,58,48,50,0.8309037900874635,0.8507462686567164,0.4528301886792453,0.7551020408163265,0.8407079646017698,0.6517882286679808,0.3120206425244765,0.7630526612221911,0.9099030862189873,0.1502658980103705,-0.02269409725390037,0.1517882286679808,0.3120206425244765,0.8144716293597085,0.865585661059547,0.5993617994931005,0.7044554350887074,0.20632557364660842,0.41419070859268475,0.711722050126725,0.8103703182202197,0.8862624165666514,0.9317125769248875
pyannote/babar_age_stratified/12_16m/12_16m,f1,val,0.1483601472823215,234,163,71,0.6965811965811965,138,16,55,25,0.8961038961038961,0.8466257668711656,0.7746478873239436,0.8247863247863247,0.8706624605678233,0.8106368270975546,0.6021442726913298,0.8257582303637778,0.8966874932079061,0.20010629662670953,0.04950377039150089,0.3106368270975546,0.6021442726913298,0.8333201892744478,0.90625,0.752115916357038,0.8648232956018318,0.4906994864686367,0.7050108625346156,0.7643437310982458,0.8792167113108097,0.8599374127442571,0.9307306152184148
pyannote/babar_age_stratified/12_16m/12_16m,balanced_acc,val,0.2519066595317087,234,163,71,0.6965811965811965,127,13,58,36,0.9071428571428571,0.7791411042944786,0.8169014084507042,0.7905982905982906,0.8382838283828383,0.7980212563725915,0.5589491098163215,0.8257582303637778,0.8966874932079061,0.20010629662670953,0.017125138206515955,0.29802125637259147,0.5589491098163215,0.7919463087248323,0.8815789473684211,0.7404303119329474,0.8516460727555516,0.45113112870456495,0.6647660498320017,0.7643437310982458,0.8792167113108097,0.8599374127442571,0.9307306152184148
pyannote/babar_age_stratified/12_16m/12_16m,youden,val,0.2519066595317087,234,163,71,0.6965811965811965,127,13,58,36,0.9071428571428571,0.7791411042944786,0.8169014084507042,0.7905982905982906,0.8382838283828383,0.7980212563725915,0.5589491098163215,0.8257582303637778,0.8966874932079061,0.20010629662670953,0.017125138206515955,0.29802125637259147,0.5589491098163215,0.7919463087248323,0.8815789473684211,0.7404303119329474,0.8516460727555516,0.45113112870456495,0.6647660498320017,0.7643437310982458,0.8792167113108097,0.8599374127442571,0.9307306152184148
