system,objective,threshold,n_children_test,n_clips_test,f1_child_ci_low,f1_child_ci_high,balanced_acc_child_ci_low,balanced_acc_child_ci_high,mcc_child_ci_low,mcc_child_ci_high,auroc_child_ci_low,auroc_child_ci_high,auprc_child_ci_low,auprc_child_ci_high
mil/mil_results/whisper_mil/age_stratified/12_16m,balanced_acc,0.6973252892494202,92,234,0.7481467345207803,0.85,0.6900019614001077,0.8143649823756318,0.351292780389002,0.5862837864415423,0.7621949467185116,0.8856313260501804,0.8689096761666942,0.9512099117252844
mil/mil_results/whisper_mil/age_stratified/12_16m,youden,0.6973252892494202,92,234,0.7481467345207803,0.85,0.6900019614001077,0.8143649823756318,0.351292780389002,0.5862837864415423,0.7621949467185116,0.8856313260501804,0.8689096761666942,0.9512099117252844
mil/mil_results/whisper_mil/age_stratified/34_38m,f1,0.5666640400886536,88,207,0.8910227272727274,0.9476592498410681,0.6832053431916069,0.8555637254901961,0.37181503526010345,0.6766506809854984,0.8149716262200217,0.9317371835747517,0.9485503531837206,0.9877032626284972
mil/mil_results/whisper_mil/age_stratified/34_38m,balanced_acc,0.7674006819725037,88,207,0.8164204793460578,0.9013157894736842,0.7637746109300111,0.8861331153100774,0.39862070463136706,0.6281228358020103,0.8149716262200217,0.9317371835747517,0.9485503531837206,0.9877032626284972
mil/mil_results/whisper_mil/age_stratified/34_38m,youden,0.7674006819725037,88,207,0.8164204793460578,0.9013157894736842,0.7637746109300111,0.8861331153100774,0.39862070463136706,0.6281228358020103,0.8149716262200217,0.9317371835747517,0.9485503531837206,0.9877032626284972
mil/mil_results/whisper_mil_acmil,f1,0.368836909532547,109,441,0.8453546236725835,0.9047219867636032,0.5315965296005422,0.6134377446021821,0.1791886707064225,0.40246195307809796,0.6755278189525171,0.7899236213587809,0.8336596615389098,0.9167610643507129
mil/mil_results/whisper_mil_acmil,balanced_acc,0.6953585147857666,109,441,0.6679818326866592,0.7629035802765124,0.6045718491869536,0.7107946937732345,0.17405521853243158,0.3668008393967953,0.6755278189525171,0.7899236213587809,0.8336596615389098,0.9167610643507129
mil/mil_results/whisper_mil_acmil,youden,0.6953585147857666,109,441,0.6679818326866592,0.7629035802765124,0.6045718491869536,0.7107946937732345,0.17405521853243158,0.3668008393967953,0.6755278189525171,0.7899236213587809,0.8336596615389098,0.9167610643507129
mil/mil_results/whisper_mil_acmil_gated,f1,0.3687169253826141,109,441,0.8466219484255276,0.9055894385440973,0.5326399775712172,0.6208655300307679,0.18310332767642545,0.4221562046169423,0.6768889515273139,0.7910229061881375,0.8397983504223994,0.9188407819230848
mil/mil_results/whisper_mil_acmil_gated,balanced_acc,0.716320276260376,109,441,0.6505950181092468,0.748410323516428,0.603483315139965,0.7077165604418174,0.17589746495991973,0.3571436907691074,0.6768889515273139,0.7910229061881375,0.8397983504223994,0.9188407819230848
mil/mil_results/whisper_mil_acmil_gated,youden,0.716320276260376,109,441,0.6505950181092468,0.748410323516428,0.603483315139965,0.7077165604418174,0.17589746495991973,0.3571436907691074,0.6768889515273139,0.7910229061881375,0.8397983504223994,0.9188407819230848
mil/mil_results/whisper_mil_acmil_max,f1,0.5023611187934875,109,441,0.8617081145771743,0.9156329230554161,0.6812950835584155,0.7866646855962713,0.4064765772884551,0.602785296119038,0.7936194000316357,0.8840909995886194,0.9060190601499383,0.961802504087021
mil/mil_results/whisper_mil_acmil_max,balanced_acc,0.7127704620361328,109,441,0.810474337176558,0.8712962057841891,0.7061535722803521,0.8127781582910971,0.37420726872678306,0.5644781017482162,0.7936194000316357,0.8840909995886194,0.9060190601499383,0.961802504087021
mil/mil_results/whisper_mil_acmil_max,youden,0.7127704620361328,109,441,0.810474337176558,0.8712962057841891,0.7061535722803521,0.8127781582910971,0.37420726872678306,0.5644781017482162,0.7936194000316357,0.8840909995886194,0.9060190601499383,0.961802504087021
mil/mil_results/whisper_mil_acmil_topk,f1,0.5003561973571777,109,441,0.8433362631209352,0.902381675111495,0.649913025151357,0.750725758046785,0.32883177479891695,0.5296680852226854,0.7659538420018264,0.8633414031200708,0.894478244807576,0.9518325512611321
mil/mil_results/whisper_mil_acmil_topk,balanced_acc,0.6185304522514343,109,441,0.8268267521624689,0.8806501483968276,0.6941328890986265,0.7917126620344489,0.3738571321364859,0.5430876000740539,0.7659538420018264,0.8633414031200708,0.894478244807576,0.9518325512611321
mil/mil_results/whisper_mil_acmil_topk,youden,0.6185304522514343,109,441,0.8268267521624689,0.8806501483968276,0.6941328890986265,0.7917126620344489,0.3738571321364859,0.5430876000740539,0.7659538420018264,0.8633414031200708,0.894478244807576,0.9518325512611321
mil/mil_results/whisper_mil_cross_child,f1,0.597794771194458,21,496,0.8356194090539442,0.9225706450604623,0.6385019456905173,0.7266856368285286,0.37817228472533415,0.5451520514108442,0.8251587632006235,0.9160083877302458,0.9073385274130884,0.9762422530232581
mil/mil_results/whisper_mil_cross_child,balanced_acc,0.6937517523765564,21,496,0.849749196936002,0.9237427201096265,0.7022249290670322,0.8033823591190752,0.4527965310277277,0.6254052987596814,0.8251587632006235,0.9160083877302458,0.9073385274130884,0.9762422530232581
mil/mil_results/whisper_mil_cross_child,youden,0.6937517523765564,21,496,0.849749196936002,0.9237427201096265,0.7022249290670322,0.8033823591190752,0.4527965310277277,0.6254052987596814,0.8251587632006235,0.9160083877302458,0.9073385274130884,0.9762422530232581
mil/mil_results/whisper_mil_cross_child_synth,f1,0.4851902723312378,21,496,0.7975680741910024,0.8884258728504429,0.5162169539394479,0.5826242290880137,0.06536609148260021,0.2712105954005,0.6175266307530319,0.792500643457852,0.7978230522357281,0.9115764184739572
mil/mil_results/whisper_mil_cross_child_synth,balanced_acc,0.8383551239967346,21,496,0.5987417377719024,0.7564163101798144,0.5935998635494669,0.7181806742583398,0.15797174478718976,0.4012636091591926,0.6175266307530319,0.792500643457852,0.7978230522357281,0.9115764184739572
mil/mil_results/whisper_mil_cross_child_synth,youden,0.8383551239967346,21,496,0.5987417377719024,0.7564163101798144,0.5935998635494669,0.7181806742583398,0.15797174478718976,0.4012636091591926,0.6175266307530319,0.792500643457852,0.7978230522357281,0.9115764184739572
mil/mil_results/whisper_mil_cross_child_synth_v1,f1,0.0,21,496,0.7922077922077922,0.8969704871399786,0.5,0.5,0.0,0.0,0.49265184247257354,0.6801088633286861,0.7121420231800246,0.836395873141827
mil/mil_results/whisper_mil_cross_child_synth_v1,balanced_acc,0.7950823903083801,21,496,0.5684317653140347,0.7282503280425463,0.5059401946694128,0.6425383352520827,0.009845699752112032,0.2591749871357641,0.49265184247257354,0.6801088633286861,0.7121420231800246,0.836395873141827
mil/mil_results/whisper_mil_cross_child_synth_v1,youden,0.7950823903083801,21,496,0.5684317653140347,0.7282503280425463,0.5059401946694128,0.6425383352520827,0.009845699752112032,0.2591749871357641,0.49265184247257354,0.6801088633286861,0.7121420231800246,0.836395873141827
mil/mil_results/whisper_mil_hardneg,f1,0.5002113580703735,109,441,0.8359110022642207,0.8981169530408727,0.6421233337232481,0.7487947260903046,0.30972263769695474,0.5114640334011984,0.7710705963346428,0.8639673328009962,0.9012078948288405,0.9543883003352762
mil/mil_results/whisper_mil_hardneg,balanced_acc,0.6527597904205322,109,441,0.7809820142181698,0.8483943570467307,0.6955573666846673,0.7903791561480777,0.3475066305502249,0.5133110385359357,0.7710705963346428,0.8639673328009962,0.9012078948288405,0.9543883003352762
mil/mil_results/whisper_mil_hardneg,youden,0.6527597904205322,109,441,0.7809820142181698,0.8483943570467307,0.6955573666846673,0.7903791561480777,0.3475066305502249,0.5133110385359357,0.7710705963346428,0.8639673328009962,0.9012078948288405,0.9543883003352762
mil/mil_results/whisper_mil_hardneg_synth,f1,0.4986066520214081,109,441,0.8679159128112346,0.9161360231698792,0.6965673512666931,0.7874206661683107,0.43795965155052324,0.5999289433392516,0.8113898105779054,0.8901194210089177,0.9189489581172173,0.9648081388091113
