child_id,n_segments,status
synthetic_default_14_18mo_42_004664,2,ok
synthetic_default_14_18mo_42_004713,2,ok
synthetic_default_14_18mo_42_004718,0,no_valid_segments
synthetic_default_14_18mo_42_004754,3,ok
synthetic_default_14_18mo_42_004758,4,ok
synthetic_default_14_18mo_42_004791,1,ok
synthetic_default_14_18mo_42_004850,1,ok
synthetic_default_14_18mo_42_004856,1,ok
synthetic_default_14_18mo_42_004863,2,ok
synthetic_default_14_18mo_42_004870,2,ok
synthetic_default_14_18mo_42_004903,4,ok
synthetic_default_14_18mo_42_004940,2,ok
synthetic_default_14_18mo_42_004989,0,no_valid_segments
